epoch,average_reward,final_reward
0,-30.00141555154224,-10000
1,-8.746484664095961,-10000
2,-7.981581025206625,-10000
3,-43.594321888343984,-10000
4,-19.9716124923075,-10000
5,-34.09929899966142,-10000
6,7.26419568034814,-10000
7,-21.849570753013182,-10000
8,7.18876147101237,-10000
9,5.901908187756593,-10000
10,-15.776690762915733,-10000
11,-4.6616345346733725,-10000
12,5.9774330436020096,-10000
13,-53.24548582129659,-10000
14,-10.03493713265179,-10000
15,2.263826910922211,-10000
16,1.1721099583721886,-10000
17,7.848151679520256,-10000
18,-45.096239354268675,-10000
19,6.851977877159363,0
20,-25.64787091621732,-10000
21,-10.513934347130714,-10000
22,2.7631376821054534,-10000
23,-0.2312518677472326,-10000
24,-27.115430462961474,-10000
25,-25.094880475198558,-10000
26,7.497226558934367,10000
27,-69.85403820985245,-10000
28,-3.0905975047548564,0
29,-6.278002463637489,-10000
30,1.0831824526301905,-10000
31,-29.31237498854556,-10000
32,-1.977416030982486,-10000
33,-19.64444844641853,-10000
34,4.402383460554779,-10000
35,-13.757183034233305,-10000
36,-1.4351469995513721,10000
37,7.381783174481742,-10000
38,-8.196681707472194,-10000
39,7.374134961892113,-10000
40,7.712432049767106,10000
41,-27.111263554347403,-10000
42,6.075978853246255,-10000
43,-17.952046453149446,-10000
44,1.7657588245229068,10000
45,6.422586591417231,-10000
46,8.161725765938515,-10000
47,7.8938698329720065,-10000
48,-8.844870120647073,-10000
49,-16.285240138440333,-10000
50,7.856671809995994,-10000
51,-18.32416336687277,-10000
52,7.67066588905563,-10000
53,4.567452574744631,-10000
54,-3.448159177997383,-10000
55,5.753085793425053,-10000
56,-3.5223803778488816,-10000
57,-14.860958745245421,-10000
58,-17.083668091444906,-10000
59,2.556333629163989,-10000
60,3.2476729718240467,-10000
61,-37.83747319993842,-10000
62,-46.67504587866257,-10000
63,7.969863487437658,-10000
64,-34.671048924906394,10000
65,-3.4659970922282386,-10000
66,8.356448224852128,-10000
67,7.742106134603929,-10000
68,-22.35157323593052,-10000
69,-46.04100723905688,-10000
70,7.68124495279411,-10000
71,0.7680444827835041,-10000
72,-90.4215751540902,-10000
73,-3.3520660138939404,-10000
74,-22.004939409120734,-10000
75,0.023281116366995452,-10000
76,7.482198172934827,-10000
77,-3.594700437204529,-10000
78,-0.23635179968380096,-10000
79,7.603284630381589,0
80,-11.691026843449519,-10000
81,-39.65842629769446,-10000
82,7.999218305842454,10000
83,7.379558240189053,-10000
84,5.867458082362211,-10000
85,-10.684702908742054,-10000
86,1.214602413393309,-10000
87,-6.581928789738023,10000
88,-47.05402037411249,-10000
89,1.3480770388090884,-10000
90,2.453028919740946,-10000
91,7.963895079275866,-10000
92,-18.93294869798699,-10000
93,2.5532813226466837,-10000
94,6.221358789449208,-10000
95,-0.48464849843899444,-10000
96,6.956004949855014,-10000
97,6.586039851071501,-10000
98,7.818365207297724,-10000
99,8.631136696082697,10000
100,2.9792168470829683,-10000
101,-20.64533142204704,-10000
102,-5.837443099026602,10000
103,7.8628399408927985,-10000
104,-25.123355149857463,-10000
105,-31.321919161723063,-10000
106,-1.4008762644444304,-10000
107,-29.835084420171356,-10000
108,-71.68777845695448,-10000
109,3.0115185193058234,-10000
110,4.417198291614515,-10000
111,4.60374473648103,-10000
112,7.599753569040542,0
113,6.776222920291269,-10000
114,-3.2199475437072302,-10000
115,3.0213068851913327,-10000
116,-45.91141181523903,-10000
117,7.6736510603330235,-10000
118,-21.23121567542228,-10000
119,8.190495008007824,-10000
120,-24.624779081762345,-10000
121,-9.312604320544613,-10000
122,-26.405049461464124,-10000
123,7.422127617317822,-10000
124,4.194594204065982,-10000
125,-1.9990990351898024,-10000
126,-45.098658785229475,-10000
127,-14.180366545423299,-10000
128,-20.10517419476368,-10000
129,-5.114167764583174,10000
130,4.1231686488753,10000
131,-32.163644351865244,-10000
132,-10.060306575919908,-10000
133,8.08631888772264,-10000
134,7.410816832029495,-10000
135,7.270982373937092,-10000
136,-31.931696213040567,-10000
137,5.999787500378475,-10000
138,5.242558371478388,-10000
139,-5.187246957339519,-10000
140,6.147647950346254,-10000
141,-21.594736823420412,-10000
142,-17.07382981671035,-10000
143,3.4777115951214297,-10000
144,7.307283148257298,-10000
145,-1.3830827835299715,-10000
146,-22.243193058769325,-10000
147,-15.616867469567694,-10000
148,4.524111503147787,-10000
149,4.024354750375977,-10000
150,-13.235858785716808,-10000
151,-0.15209353544307658,-10000
152,4.580903994511217,-10000
153,-8.390385617578591,-10000
154,-9.437344130180266,-10000
155,7.3973744338904766,-10000
156,7.86512860696958,-10000
157,7.7946507603902475,-10000
158,-23.21164055747161,-10000
159,-45.89121158907207,-10000
160,1.2108949096500234,-10000
161,-1.2469573733478398,0
162,-45.99221244077969,-10000
163,7.877260338163952,-10000
164,4.385403202045461,-10000
165,-15.191637282257132,-10000
166,-6.618873098225872,-10000
167,-20.666546445579048,-10000
168,-17.09222260059173,-10000
169,4.780365770596514,-10000
170,-0.3584588072795999,-10000
171,1.7213369422689668,-10000
172,-1.3205296658326597,0
173,6.611478741622441,-10000
174,-7.775055196114382,-10000
175,-0.5641568468112756,-10000
176,-10.224839850612625,-10000
177,-31.607943111121184,-10000
178,-18.71161003053046,-10000
179,6.288236894150666,-10000
180,-46.71010929874968,-10000
181,7.750261158971732,-10000
182,-49.938559223556446,-10000
183,6.305636834290521,-10000
184,5.728327606749637,-10000
185,7.934018900394623,-10000
186,8.479551244979204,10000
