epoch,average_reward,final_reward
110,-7.217175346711641,10000
111,-3.6399894729581934,10000
112,-5.327521643421249,-10000
113,-7.392297048571267,10000
114,-8.080769256777947,10000
115,-4.170070826227397,10000
116,-7.650690168910177,10000
117,-7.145222118214845,10000
118,-7.348501885986419,10000
119,-6.555016878455132,10000
120,-7.667667515085327,-10000
121,-7.277908128107046,10000
122,-6.711575066260692,10000
123,-7.548976721590601,10000
124,-5.158088663001559,10000
125,-3.63785951038564,10000
126,-7.534803323885461,10000
127,-7.314472371550538,10000
128,-7.068304936602764,10000
129,-7.546693413471157,10000
130,-6.875602300772979,10000
131,-6.976758665739352,-10000
132,-3.652492166340893,10000
133,-7.556085021926081,10000
134,-5.6821868466185075,-10000
135,-5.280791096415842,10000
136,-5.999855667685062,10000
137,-7.303800555038176,10000
138,-3.953656675935808,10000
139,-6.83607940237116,10000
140,-7.891085313021454,10000
141,-7.782629375365464,-10000
142,-6.800859955310793,-10000
143,-4.11108405358796,10000
144,-7.973605559874588,10000
145,-7.0046498437995135,10000
146,-6.863738429187564,10000
147,-7.4311171899950414,10000
148,-7.205861648377645,10000
149,-3.9443311248968764,-10000
150,-7.3282858109067694,-10000
151,-5.134625249247705,0
152,-7.855331662901555,10000
153,-6.9699668426625605,10000
154,-7.067401286716308,10000
155,-6.205132632105233,10000
156,-6.203291655313581,10000
157,-4.986417228874702,10000
158,-6.605771274484091,0
159,-6.69055554848796,10000
160,-7.678655967115827,10000
161,-7.674170642308005,10000
162,-7.330711367622729,10000
163,-3.833550656199846,-10000
164,-7.4333695679997085,10000
165,-4.8284842618596935,10000
166,-7.58964083035964,-10000
167,-5.731807243921922,10000
168,-7.980103180973421,10000
169,-3.5627449719619513,10000
170,-7.522966504216961,10000
171,-3.9567938865092485,-10000
172,-6.922442877780405,10000
173,-4.92874941073383,-10000
174,-7.994872585608191,0
175,-3.874788993656397,10000
176,-7.551690897443583,0
177,-8.094752630878453,10000
178,-7.345744301054878,10000
179,-7.550293308130974,10000
180,-7.984798556397053,10000
181,-7.0767411244479765,10000
182,-5.278942675411,10000
183,-5.260971589207527,10000
184,-6.370602752265672,-10000
185,-7.07912129046879,-10000
186,-6.474648805998708,-10000
187,-4.512857562367897,10000
188,-7.250937716611891,-10000
189,-7.333422865223498,10000
190,-7.1018651062686935,10000
191,-6.980488263330517,10000
192,-7.39401449240515,0
193,-7.162774155661495,10000
194,-5.396974181929202,10000
195,-6.188808622495712,-10000
196,-5.298887071215751,-10000
197,-4.675942607846662,10000
198,-7.0787234241167125,-10000
199,-6.452436930203576,10000
200,-7.478673520703953,0
201,-6.118163608819106,10000
202,-7.5117269606497565,-10000
203,-5.561592485046868,10000
204,-7.424858484374591,10000
205,-5.530919141351327,10000
206,-6.242658506308796,-10000
207,-4.690423061117924,-10000
208,-6.215488840132145,10000
209,-7.726465734284183,10000
210,-7.820681528404836,10000
211,-6.879215238217218,0
212,-6.627775837790179,10000
213,-7.19949171301612,10000
