epoch,average_reward,final_reward
240,2.5744632278247885,-10000
241,6.974159277605202,-10000
242,-2.894312104917091,-10000
243,-46.285460574794485,-10000
244,2.0222740556148726,-10000
245,-3.456315064800288,-10000
246,-1.1180668541788952,-10000
247,-37.74802774277126,-10000
248,-5.423609317014305,-10000
249,-9.741050258323531,-10000
250,1.34245739364543,0
251,-49.08198195509992,-10000
252,-1.1668631981323414,-10000
253,-19.295977589484448,-10000
254,-38.795589396269996,-10000
255,-8.102007506129988,-10000
256,-17.461813483701786,-10000
257,3.147496430401,-10000
258,-22.84927064863489,-10000
259,-11.30145770080895,-10000
260,2.644100365420683,-10000
261,-4.595937016258045,-10000
262,-7.709904402613237,-10000
263,4.128280983985545,0
264,-1.3898676478071612,-10000
265,1.7104265587081637,-10000
266,4.492085840695137,-10000
267,-49.47205295098648,-10000
268,-0.0833839548234299,-10000
269,2.9012846244821047,-10000
270,3.3068454630128272,-10000
271,-36.718679154182226,-10000
272,-15.919984912532714,-10000
273,-35.09654835082668,-10000
274,-54.71137893580912,-10000
275,-10.064935119594509,-10000
276,-51.5187769456948,10000
277,-10.836605870485263,-10000
278,-36.60994986293655,-10000
279,-43.18322198385431,-10000
280,3.0424195380889225,-10000
281,-15.28115396492323,-10000
282,-2.461264426437028,-10000
283,-11.257461130892594,-10000
284,-0.9804567683404725,-10000
285,-4.409634928367382,0
286,-0.18208337879377023,-10000
287,2.8694715330528116,-10000
288,-11.433981177406674,0
289,-95.44515062334703,-10000
290,1.914005680268634,-10000
291,-1.3257708726668824,-10000
292,-52.06536399685726,-10000
293,-4.327780223908067,-10000
294,-38.73927002397131,-10000
295,-54.492925716776384,-10000
296,-2.5041484461137524,-10000
297,-16.544897719285963,10000
298,-13.213567364231807,-10000
299,-1.5020293719389126,-10000
300,-14.148615687224067,-10000
301,0.37796742726478694,10000
302,-7.240374188237967,-10000
303,-4.9672629591256605,-10000
304,-0.4475875249623145,-10000
305,4.2758575568127455,-10000
306,-13.456961206047044,0
307,4.387990317532566,-10000
308,3.331108607930816,-10000
309,2.956050103663282,-10000
310,-100.0,10000
311,-4.574811333800693,0
312,2.8860688380646877,-10000
313,-47.65249076088539,0
314,2.3202927016665353,-10000
315,-3.9152019247969614,-10000
316,-4.747096686589482,-10000
317,1.1007036387153784,-10000
318,-2.4266770045767716,-10000
319,-60.149412940931235,10000
320,-40.47545661707655,-10000
321,-22.529751487206973,-10000
322,-33.230926634682596,-10000
323,0.902752536450119,-10000
324,-3.3655487649133566,-10000
325,1.1396615116964313,-10000
326,-13.451545432645304,-10000
327,-16.962239640237126,-10000
328,2.745237177734972,-10000
329,4.608541487360981,-10000
330,-5.678977279460041,-10000
331,-4.551548364281004,-10000
332,2.3484750986859377,-10000
333,3.5760683762888528,-10000
334,-68.83493946030896,10000
335,4.292203190434788,-10000
336,-6.668066280923033,-10000
337,4.633650072768407,-10000
338,3.219140523044563,-10000
339,5.066665066230967,-10000
340,-67.97235843905635,0
341,-9.333398048917196,-10000
342,4.152816436254938,-10000
343,-5.199872540602039,-10000
344,-38.65485272287806,-10000
345,-14.200226565648062,-10000
346,-13.754561640382404,-10000
347,-5.073167437248691,-10000
348,3.626742750079385,-10000
349,3.9920193429989816,-10000
350,-14.770692023862301,-10000
351,-48.624120497281524,-10000
352,-0.6340072526521829,-10000
353,-16.887793356132278,-10000
354,-0.1563744197986515,-10000
355,-80.69813302177927,10000
356,-50.5618589572542,10000
357,-9.126230614575876,-10000
358,0.162122892864433,-10000
359,-13.580882648467508,-10000
360,-2.05066685296846,-10000
361,-52.65882240757872,-10000
362,-54.90998258781534,10000
363,-9.620833313736222,-10000
364,-0.05715827615886661,-10000
365,-58.329672261113814,10000
366,-2.196153951732172,-10000
367,-7.969826222918778,-10000
368,-25.41405070463045,-10000
369,-50.346843051364985,-10000
370,3.660555156348351,-10000
371,-46.96114860394597,10000
372,-0.6274061018392357,-10000
373,-40.6741827066538,-10000
374,-11.626464486743764,-10000
375,-47.69709949252425,-10000
376,-63.461996968041525,0
377,-0.3305741859638172,-10000
378,1.1956360005303273,-10000
379,-1.834624010219132,-10000
380,-0.3741266643800243,-10000
381,4.655572893210098,-10000
382,-5.174803618250222,-10000
383,3.823091319132024,-10000
384,1.091259651531642,-10000
385,-29.7015206426202,10000
386,-5.756639169070201,-10000
387,-30.62207072210412,-10000
388,-31.8011323806713,10000
389,-14.32456974892843,-10000
390,-3.296498214353856,-10000
391,-49.093625831659516,-10000
392,-8.081199989745912,0
393,1.111048993086971,-10000
394,-19.612100083031066,-10000
395,-6.107416925574086,-10000
396,2.9447222182005373,-10000
397,-28.647546143705256,-10000
398,-3.4931963981916048,-10000
399,-9.319186243843276,-10000
400,-42.780085508796766,-10000
401,-15.442898959346115,-10000
402,-5.350573102271403,-10000
403,-6.064683980238482,10000
404,0.4761727642160492,10000
405,2.0718252949629434,-10000
406,-13.206530541824256,-10000
407,4.064897437741017,-10000
408,0.43966890820557814,-10000
409,-42.88332281408251,-10000
410,-23.278433143791336,-10000
411,4.370769911231754,-10000
412,-4.903282851610001,-10000
413,2.755826625893346,-10000
414,-14.352030616090618,-10000
415,-8.409983976454775,10000
416,2.4482513178707506,-10000
417,1.8457198248070446,-10000
418,0.44977545001986646,10000
419,-10.129374972328208,0
420,-3.377240557488472,10000
421,-10.397211123816422,-10000
422,2.161165840989786,-10000
423,1.080631593269759,-10000
424,0.5131927941696873,-10000
425,0.6750993445675944,-10000
426,-4.048742892828228,-10000
427,-12.999574728546436,-10000
428,-7.316107499829416,0
429,4.3031567048959545,-10000
430,-0.8217648024931596,0
431,-0.4532092411503608,-10000
432,-100.0,-10000
433,0.4544951270289312,-10000
434,-20.71911310119345,-10000
435,-9.697263948493312,-10000
436,-15.84501058929704,-10000
437,-13.52404977939461,-10000
438,4.778839192425889,0
439,-9.154790868403266,-10000
440,-4.607559384852768,-10000
441,-4.729309308549976,-10000
442,-1.5463546092845597,-10000
443,2.5693961271092176,-10000
444,-58.19709209979206,10000
445,2.9921721337146825,-10000
446,-7.02234152344066,-10000
447,-1.8049172608792012,-10000
448,-6.483479394418152,10000
449,-51.34528435237851,0
450,-36.68670531583149,-10000
451,-7.710429235894532,-10000
452,2.6040739105839594,-10000
453,-0.24235641585510165,-10000
454,-7.816215012572196,-10000
455,0.8320881612894069,-10000
456,2.7884891194685983,-10000
457,-23.180574279612692,10000
458,-53.62090322728896,10000
459,-8.001415911043296,10000
460,3.208105259179143,-10000
461,5.546215832026908,-10000
462,-5.40695867646656,-10000
463,-14.39828774841384,-10000
464,-13.49317466119524,-10000
465,2.937098141969674,-10000
466,-21.529121587278926,-10000
467,2.5783323148368904,-10000
468,-14.608168700644072,-10000
469,-27.87474666335056,10000
470,-59.151473876221985,-10000
471,3.831687456085734,-10000
472,-3.365509121407687,-10000
473,-9.53308132336307,-10000
474,-0.25493918544899236,-10000
475,-0.12301461113285019,-10000
476,-5.732740252466699,-10000
477,-3.6847341525112283,0
478,-0.9111429374041109,-10000
479,-3.7691084605086593,10000
480,-20.33105414462254,10000
481,-43.46823708690673,10000
482,-11.547723555214747,0
483,3.0285909689838424,-10000
484,-0.60464682342982,-10000
485,-0.6352568537152117,-10000
486,-78.08627682079604,10000
487,-1.9592403330495485,-10000
488,-1.4264065773629888,10000
489,-10.213562148487048,10000
490,-0.15632320625934817,10000
491,1.7611821334021702,-10000
492,-8.995931715715304,-10000
493,3.8455490851607843,-10000
494,-31.660089178543288,10000
495,-27.041456174862276,-10000
496,4.344228771691409,-10000
497,-28.280220905345956,-10000
498,-49.547937069672145,-10000
499,-58.41420395165954,-10000
500,-14.368976077834464,-10000
501,3.277231683664762,-10000
502,-49.188762148326475,-10000
503,-92.05837102976618,-10000
504,-17.965242882973705,-10000
505,-19.83591535741038,-10000
506,4.642634803642767,0
507,-7.4240131219365875,0
508,-41.0188781129658,10000
509,-2.0046852896053036,-10000
510,3.703574021594498,-10000
511,-16.02301715765977,-10000
512,-17.13562514467285,-10000
513,-12.479249596357688,-10000
514,-40.354165185136004,-10000
515,-16.089070894672712,-10000
516,3.1587029617616467,-10000
517,-6.314034004880192,-10000
518,-63.53857031492477,-10000
519,-22.467832532043076,-10000
520,-27.316143531785986,-10000
521,-18.78173958998432,-10000
522,-10.56822834451988,-10000
523,0.4182670690089414,-10000
524,2.961720548750512,-10000
525,-72.67893551830002,10000
526,-15.809958846763262,-10000
527,-3.2984371358724656,-10000
528,-13.756535936253712,10000
529,-50.1936285829255,-10000
530,-48.63432049269084,-10000
531,-0.6845256680333125,-10000
532,-5.449810881747488,-10000
533,-44.08399258824853,-10000
534,-1.3063061009548171,-10000
535,-15.308112597679235,-10000
536,-39.53510095922015,-10000
537,1.5312987645420435,10000
538,-13.81512659452406,-10000
539,-9.526453239026768,-10000
540,-3.711103750197372,-10000
541,1.7433724555492196,-10000
542,4.0414219061890115,-10000
543,-25.9308753340952,-10000
544,-51.3349212448943,10000
545,-100.0,10000
546,-7.168399361127874,-10000
547,-15.704767143075166,-10000
548,-17.02994075942497,-10000
549,-14.950979981315294,-10000
550,-7.095469367646039,-10000
551,-10.291007639192095,-10000
552,-25.53802124202134,10000
553,-2.987849229342011,-10000
554,-7.535390207873128,-10000
555,0.9662483829711933,-10000
556,-11.26097757841824,-10000
557,-56.17919191890803,-10000
558,-21.536619110417142,10000
559,-2.698039324562608,-10000
560,-18.267757819175444,-10000
561,-29.132350050036024,-10000
562,-44.18022465066315,-10000
563,-4.92475173426514,-10000
564,-6.919341730889477,-10000
565,-59.71534265934775,-10000
566,0.8016323139229756,-10000
567,1.417970018724898,10000
568,-13.436521451483854,10000
569,-16.42796417434277,-10000
570,-6.807525424184507,-10000
571,-3.575901427902192,-10000
572,-33.73947690241601,-10000
573,3.190741536060082,-10000
574,-25.812764987974482,-10000
575,-4.658023260334378,-10000
576,-12.452987508875648,-10000
577,-41.17024886264393,-10000
578,-5.9510262789330675,-10000
579,-45.69009925651411,-10000
580,3.9326641877386717,-10000
581,0.009314988308534326,-10000
582,-48.31939090084009,0
583,-25.852982065052483,-10000
